vMAG_sporAMG_ID,Host_taxonomy,Host_taxonomy,Sporulating_Family?
Ma_2019_SRR341704_NODE_2419_length_6086_cov_2.000332,Bacteria;p__Bacteroidota;f__UBA1234,f__UBA1234,NA
Kang_0009_ST001_A_NODE_252_length_5344_cov_10.892796,Bacteria;p__Firmicutes_A;f__QALW01,f__QALW01,NA
Ma_2019_SRR413703_NODE_141_length_80383_cov_23.758540,Bacteria;p__Firmicutes_A;f__QALW01,f__QALW01,NA
Rampelli_SM_32_NODE_79_length_98088_cov_9.932941,Bacteria;p__Firmicutes_A;f__UBA1234,f__UBA1234,NA
Han_2018_ERR1398161_NODE_1655_length_9504_cov_5.006138,Bacteria;p__Firmicutes_A;f__UBA644,f__UBA644,NA
Han_2018_ERR1398161_NODE_2746_length_6330_cov_4.813546,Bacteria;p__Firmicutes_A;f__UBA644,f__UBA644,NA
Shkoporov_2019_SRR9161502_NODE_2402_length_13109_cov_11.087636,Bacteria;p__Firmicutes;f__CAG-449,f__CAG-449,NA
Shkoporov_2019_SRR9161502_NODE_7304_length_5619_cov_7.612868,Bacteria;p__Firmicutes;f__CAG-449,f__CAG-449,NA
Han_2018_ERR1398178_NODE_5891_length_5281_cov_3.684080,Bacteria;p__Bacteroidota;f__Streptococcaceae,f__Streptococcaceae,FALSE
Broecker_Sample_ID29-1191-3_NODE_1276_length_6000_cov_8.699916,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Broecker_Sample_ID29-1193-5_NODE_1277_length_5679_cov_2.197013,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398068_NODE_2573_length_5560_cov_3.732607,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398077_NODE_2839_length_8372_cov_8.074546,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398098_NODE_1631_length_13789_cov_9.541430,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398104_NODE_466_length_21492_cov_10.473434,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398110_NODE_129_length_49707_cov_28.540381,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398110_NODE_447_length_27936_cov_8.775761,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398112_NODE_4778_length_5151_cov_5.738619,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398113_NODE_2366_length_6208_cov_7.522834,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398118_NODE_2760_length_8633_cov_3.582187,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398119_NODE_2104_length_5392_cov_5.795578,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398126_NODE_1284_length_15464_cov_3.819456,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398144_NODE_23_length_73244_cov_110.878684,Bacteria;p__Firmicutes_A;f__Acutalibacteraceae,f__Acutalibacteraceae,FALSE
