focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_smpB,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA107_ANT-F21_scaffold_323-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA107_ANT-F21_scaffold_576-cat_2,cat_2,TRUE
Bs_smpB,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA107_ANT-F21_scaffold_6-circular-cat_2,cat_2,MAYBE
Bs_smpB,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA107_ANT-F21_scaffold_692-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA110_ANT-KO_scaffold_2291-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Frack_STACK,1,VIRSorter_MC_FT3_sol_VIRSorter_MC_FT3_sol_scaffold_2-cat_2_gene_11_gene_204-19359-219660-cat_5,cat_5,FALSE
Bs_smpB,CSUsets,Fractured_shale,1,VIRSorter_shale_MC_2_E_scaffold_0_gene_309_gene_552-228460-419055-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Fractured_shale,2,VIRSorter_shale_MC_3_A_scaffold_1_gene_317_gene_648-201134-437500-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Fractured_shale,3,VIRSorter_shale_S_1_day_87_scaffold_130-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS017916_scaffold_19_gene_64_gene_164-60507-154480-cat_5-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS077552_scaffold_56-cat_2-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS098717_scaffold_207_gene_23_gene_114-26389-76726-cat_5-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Human_Microbiome_Project,4,VIRSorter_HMP_SRS1041092_scaffold_1183_gene_12_gene_44-8927-34615-cat_5-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Human_Microbiome_Project,5,VIRSorter_HMP_SRS143991_scaffold_172_gene_21_gene_119-24476-104794-cat_5-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Human_Microbiome_Project,6,VIRSorter_HMP_SRS147557_scaffold_316-cat_2-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Human_Microbiome_Project,7,VIRSorter_HMP_SRS149784_scaffold_106_gene_33_gene_89-33962-79094-cat_5-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,1,VIRSorter_2008_megahit_k119_13802_flag_0_multi_22_9988_len_365864_gene_201_gene_344-236811-360309-cat_5,cat_5,FALSE
Bs_smpB,CSUsets,Huttenhower,2,VIRSorter_2008_megahit_k119_27658_flag_0_multi_16_9813_len_46220-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,3,VIRSorter_2008_megahit_k119_58796_flag_0_multi_114_9728_len_167626_gene_33_gene_132-38122-135023-cat_4,cat_4,FALSE
Bs_smpB,CSUsets,Huttenhower,4,VIRSorter_2014_megahit_k119_3688_flag_0_multi_9_9852_len_12244-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,5,VIRSorter_2027_megahit_k119_59760_flag_0_multi_27_7629_len_28420-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,6,VIRSorter_2028_megahit_k119_136153_flag_0_multi_111_0118_len_63230-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,7,VIRSorter_2034_megahit_k119_52443_flag_0_multi_273_3561_len_139880_gene_15_gene_114-18392-121181-cat_4,cat_4,FALSE
Bs_smpB,CSUsets,Huttenhower,8,VIRSorter_2041_megahit_k119_54980_flag_1_multi_19_0000_len_25083-cat_2,cat_2,TRUE
Bs_smpB,CSUsets,Huttenhower,9,VIRSorter_2060_megahit_k119_10769_flag_1_multi_14_0000_len_16585_gene_5_gene_16-2996-14776-cat_5,cat_5,FALSE
Bs_smpB,CSUsets,Huttenhower,10,VIRSorter_2060_megahit_k119_68391_flag_0_multi_40_9934_len_121788_gene_11_gene_110-11336-82120-cat_4,cat_4,FALSE
Bs_smpB,CSUsets,Huttenhower,11,VIRSorter_2061_megahit_k119_86170_flag_0_multi_14_9767_len_12127-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,12,VIRSorter_2061_megahit_k119_94933_flag_1_multi_30_7612_len_89510-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,13,VIRSorter_2064_megahit_k119_297573_flag_1_multi_15_5191_len_23238-cat_1,cat_1,FALSE
Bs_smpB,CSUsets,Huttenhower,14,VIRSorter_2068_megahit_k119_191989_flag_0_multi_35_9929_len_99089-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,15,VIRSorter_2071_megahit_k119_10581_flag_0_multi_39_9907_len_167223-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,16,VIRSorter_2071_megahit_k119_68401_flag_0_multi_117_9806_len_120436-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,17,VIRSorter_2077_megahit_k119_79144_flag_0_multi_37_2051_len_82517-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,18,VIRSorter_2077_megahit_k119_79996_flag_0_multi_18_9975_len_145703_gene_22_gene_136-15659-113486-cat_5,cat_5,FALSE
Bs_smpB,CSUsets,Huttenhower,19,VIRSorter_2083_megahit_k119_125465_flag_1_multi_28_0000_len_40362_gene_17_gene_47-15421-40305-cat_4,cat_4,FALSE
Bs_smpB,CSUsets,Huttenhower,20,VIRSorter_2083_megahit_k119_195031_flag_1_multi_14_0000_len_26891-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,21,VIRSorter_2083_megahit_k119_37363_flag_0_multi_47_8693_len_35880_gene_1_gene_23-141-23566-cat_5,cat_5,FALSE
Bs_smpB,CSUsets,Huttenhower,22,VIRSorter_2083_megahit_k119_59804_flag_0_multi_72_8143_len_61006_gene_55_gene_71-45595-59497-cat_5,cat_5,FALSE
Bs_smpB,CSUsets,Huttenhower,23,VIRSorter_2083_megahit_k119_60986_flag_0_multi_341_0789_len_30670_gene_15_gene_37-17137-30636-cat_5,cat_5,FALSE
Bs_smpB,CSUsets,Huttenhower,24,VIRSorter_2083_megahit_k119_91728_flag_0_multi_19_9909_len_41978-cat_2,cat_2,TRUE
Bs_smpB,CSUsets,Huttenhower,25,VIRSorter_2083_megahit_k119_99190_flag_0_multi_35_3307_len_394372_gene_120_gene_219-122023-209633-cat_4,cat_4,FALSE
Bs_smpB,CSUsets,Huttenhower,26,VIRSorter_2084_megahit_k119_215996_flag_1_multi_243_2688_len_78442-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,27,VIRSorter_2085_megahit_k119_68948_flag_1_multi_12_0000_len_12076-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,28,VIRSorter_2097_megahit_k119_125690_flag_0_multi_23_0000_len_61354_gene_22_gene_72-19597-60510-cat_4,cat_4,FALSE
Bs_smpB,CSUsets,Huttenhower,29,VIRSorter_2097_megahit_k119_12737_flag_0_multi_35_8486_len_469264_gene_5_gene_122-3649-115575-cat_5,cat_5,FALSE
Bs_smpB,CSUsets,Huttenhower,30,VIRSorter_2103_megahit_k119_41778_flag_1_multi_27_5140_len_238395_gene_1_gene_100-0-81676-cat_4,cat_4,FALSE
Bs_smpB,CSUsets,Huttenhower,31,VIRSorter_3001_megahit_k119_43329_flag_0_multi_17_7519_len_44689-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,32,VIRSorter_3002_megahit_k119_36423_flag_0_multi_31_9787_len_29286-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,33,VIRSorter_3004_megahit_k119_128353_flag_0_multi_34_0981_len_64948-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,34,VIRSorter_3005_megahit_k119_197518_flag_0_multi_33_8858_len_18029-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,35,VIRSorter_3008_megahit_k119_161850_flag_0_multi_19_9208_len_12359-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,36,VIRSorter_3008_megahit_k119_6639_flag_1_multi_18_9951_len_73995-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,37,VIRSorter_3009_megahit_k119_57899_flag_0_multi_514_8965_len_44473-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,38,VIRSorter_3010_megahit_k119_139842_flag_0_multi_39_0000_len_112721-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,39,VIRSorter_3010_megahit_k119_96320_flag_0_multi_64_9726_len_93416-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,40,VIRSorter_3016_megahit_k119_51773_flag_1_multi_15_0000_len_42033-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,41,VIRSorter_3016_megahit_k119_86795_flag_0_multi_65_9265_len_62040_gene_1_gene_51-267-41192-cat_4,cat_4,FALSE
Bs_smpB,CSUsets,Huttenhower,42,VIRSorter_3022_megahit_k119_120005_flag_1_multi_24_0000_len_51585-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,43,VIRSorter_3022_megahit_k119_132551_flag_0_multi_115_9584_len_35499-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,44,VIRSorter_3022_megahit_k119_7569_flag_0_multi_38_3017_len_27046-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,45,VIRSorter_3023_megahit_k119_82305_flag_1_multi_33_0000_len_151046_gene_10_gene_87-10082-68691-cat_5,cat_5,FALSE
Bs_smpB,CSUsets,Huttenhower,46,VIRSorter_3029_megahit_k119_72029_flag_0_multi_22_9936_len_68648-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,47,VIRSorter_3031_megahit_k119_117456_flag_1_multi_14_2521_len_23626-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,48,VIRSorter_3032_megahit_k119_206412_flag_0_multi_44_8173_len_122099-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,49,VIRSorter_4004_megahit_k119_5646_flag_0_multi_21_4377_len_78270-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,50,VIRSorter_4009_megahit_k119_84726_flag_0_multi_74_9826_len_170468_gene_29_gene_128-32637-127423-cat_4,cat_4,FALSE
Bs_smpB,CSUsets,Huttenhower,51,VIRSorter_4015_megahit_k119_190761_flag_1_multi_14_0000_len_40257-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,52,VIRSorter_4020_megahit_k119_22033_flag_1_multi_11_0000_len_27765-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,53,VIRSorter_4020_megahit_k119_45896_flag_0_multi_32_9916_len_76152-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,54,VIRSorter_4023_megahit_k119_204817_flag_0_multi_26_9840_len_32619-cat_2,cat_2,TRUE
Bs_smpB,CSUsets,Huttenhower,55,VIRSorter_4023_megahit_k119_30231_flag_0_multi_55_8912_len_55348-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,56,VIRSorter_4024_megahit_k119_103513_flag_0_multi_24_4287_len_37770-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,57,VIRSorter_4030_megahit_k119_16217_flag_0_multi_30_9277_len_16298-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,58,VIRSorter_4031_megahit_k119_117956_flag_1_multi_17_0000_len_46380-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,59,VIRSorter_4038_megahit_k119_149996_flag_1_multi_16_0000_len_31173-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,60,VIRSorter_4039_megahit_k119_24204_flag_0_multi_467_3315_len_257656_gene_138_gene_269-148322-254613-cat_5,cat_5,FALSE
Bs_smpB,CSUsets,Huttenhower,61,VIRSorter_4039_megahit_k119_81460_flag_0_multi_25_0000_len_97732-cat_2,cat_2,FALSE
Bs_smpB,CSUsets,Huttenhower,62,VIRSorter_4042_megahit_k119_85567_flag_0_multi_62_9954_len_187904_gene_92_gene_191-98147-187952-cat_4,cat_4,FALSE
Bs_smpB,CSUsets,Huttenhower,63,VIRSorter_4044_megahit_k119_55392_flag_0_multi_19_9920_len_47643-cat_2,cat_2,FALSE
