focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spoIIIE,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_C3A_k121_184386_flag_0_multi_525_9802_len_29824-cat_2,cat_2,FALSE
Bs_spoIIIE,CSUsets,Anaerobic_Digestors,2,VIRSorter_AD_CERC_C3A_k121_19370_flag_0_multi_106_0364_len_17112-cat_2,cat_2,FALSE
Bs_spoIIIE,CSUsets,Anaerobic_Digestors,3,VIRSorter_AD_CERC_C8A_k121_25556_flag_0_multi_44_0445_len_133652_gene_52_gene_119-67141-109779-cat_5,cat_5,FALSE
Bs_spoIIIE,CSUsets,Anaerobic_Digestors,4,VIRSorter_AD_CERC_C8A_k121_99735_flag_1_multi_338_2923_len_36974_gene_11_gene_34-9764-36995-cat_5,cat_5,FALSE
Bs_spoIIIE,CSUsets,ARDEC_agriculture,1,VIRSorter_Agribiome_L_E1_T5_co_scaffold_2447-cat_2,cat_2,TRUE
Bs_spoIIIE,CSUsets,ARDEC_agriculture,2,VIRSorter_Agribiome_L_E1_T5_co_scaffold_448-cat_2,cat_2,FALSE
Bs_spoIIIE,CSUsets,Columbia_River,1,VIRSorter_Columbia_River_S11020JGIsa_scaffold_14-cat_2,cat_2,FALSE
Bs_spoIIIE,CSUsets,Columbia_River,2,VIRSorter_Columbia_River_S24050OSUsa_scaffold_158-cat_2,cat_2,TRUE
Bs_spoIIIE,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_feces_day27_scaffold_159-cat_2,cat_2,FALSE
Bs_spoIIIE,CSUsets,CT_soil,1,VIRSorter_CT_soil_enrich_CT_day10_scaffold_168-cat_2,cat_2,FALSE
Bs_spoIIIE,CSUsets,CT_soil,2,VIRSorter_CT_soil_enrich_CT_day10_scaffold_2_gene_198_gene_281-211195-270751-cat_5,cat_5,FALSE
Bs_spoIIIE,CSUsets,CT_soil,3,VIRSorter_CT_soil_enrich_CT_day10_scaffold_44_gene_141_gene_209-157929-203395-cat_5,cat_5,FALSE
Bs_spoIIIE,CSUsets,CT_soil,4,VIRSorter_CT_soil_enrich_CT_day20_scaffold_117_gene_122_gene_191-126879-172132-cat_5,cat_5,FALSE
Bs_spoIIIE,CSUsets,CT_soil,5,VIRSorter_CT_soil_enrich_CT_day20_scaffold_23_gene_110_gene_216-128181-214687-cat_5,cat_5,FALSE
Bs_spoIIIE,CSUsets,East_River,1,VIRSorter_EastRiver_Co1_scaffold_1953-cat_2,cat_2,TRUE
Bs_spoIIIE,CSUsets,East_River,2,VIRSorter_EastRiver_Co2_scaffold_1114-cat_2,cat_2,TRUE
Bs_spoIIIE,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA107_ANT-F21_scaffold_5068-cat_2,cat_2,FALSE
Bs_spoIIIE,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA123_ANT-F21_scaffold_107-cat_2,cat_2,FALSE
